HostResponseTime,HostResponseRate,HostAcceptRate,Superhost,HostListings,Neighborhood,Latitude,Longitude,RoomType,Accomodates,Bathrooms,Bedrooms,Beds,Price,MinNights,Availability30,Availability60,Availability90,Availability365,ReviewCount,FirstReview,AvgRating,RatingAccuracy,RatingClean,RatingCheckIn,RatingCommunication,RatingLocation,RatingValue,Instant Booking,BookingsPerMonth,CommissionsPerMonth
within a day,0.5,0.5,f,11,Centro Storico,43.7736,11.25881,Entire home/apt,6,2,2,6,140,5,0,0,0,193,5,2016.5,4.6,5,4.6,5,5,5,4.8,f,0.08,5.04
within a day,0.5,0.5,f,11,Centro Storico,43.77488,11.25966,Entire home/apt,2,1,1,4,146,3,0,0,0,193,1,2019.8,4,4,5,5,5,5,5,f,0.04,2.628
within a day,0.5,0.5,f,11,Centro Storico,43.77551,11.25912,Entire home/apt,2,1,1,4,146,3,0,0,0,193,4,2016.8,5,5,4.5,5,5,5,4.75,f,0.07,4.599
within an hour,1,0.83,f,10,Centro Storico,43.77525,11.25258,Private room,2,0,1,2,50,1,22,33,63,326,17,2015.4,4.41,4.56,4.56,4.75,4.69,4.75,4.31,f,0.23,5.175
within a few hours,1,0.92,f,2,Centro Storico,43.76807,11.25997,Entire home/apt,10,0,5,5,320,4,3,29,51,270,180,2013.1,4.75,4.88,4.66,4.84,4.92,4.92,4.83,f,1.74,250.56
within an hour,1,0.98,t,2,Centro Storico,43.77358,11.25723,Entire home/apt,4,1,1,2,100,3,22,45,71,346,81,2011.7,4.96,4.99,5,4.99,4.99,4.99,4.91,f,0.67,30.15
within a day,0.5,0.5,f,11,Centro Storico,43.76968,11.26292,Entire home/apt,4,2,1,4,100,3,0,0,0,192,1,2020.2,5,4,4,5,5,5,4,f,0.06,2.7
within a few hours,1,0.84,f,6,Centro Storico,43.77739,11.24115,Entire home/apt,2,1.5,1,1,135,3,0,0,21,169,97,2013.4,4.84,4.89,4.85,4.93,4.89,4.9,4.81,f,0.97,58.9275
within an hour,1,0.99,t,40,Centro Storico,43.76801,11.26212,Entire home/apt,4,1,2,3,143,1,4,14,16,256,93,2013.4,4.93,4.95,4.95,4.99,4.93,4.96,4.89,t,0.93,59.8455
within an hour,0.94,1,f,6,Centro Storico,43.76971,11.24542,Private room,3,1,1,2,39,2,5,15,33,306,339,2012.3,4.73,4.83,4.79,4.84,4.8,4.89,4.79,t,2.99,52.4745
within an hour,0.71,1,f,3,Centro Storico,43.76889,11.25636,Hotel room,2,1,1,1,90,1,14,43,73,345,122,2012.6,4.39,4.41,4.81,4.52,4.56,4.89,4.49,t,1.11,44.955
within an hour,1,1,f,189,Centro Storico,43.77089,11.2606,Entire home/apt,3,1,1,3,140,3,0,0,0,40,3,2016.5,4.33,4.67,4.33,4.67,4.67,4.67,4.33,t,0.05,3.15
within an hour,1,1,f,189,Centro Storico,43.76977,11.26376,Entire home/apt,10,2,4,7,310,3,10,10,10,22,36,2016.8,4.51,4.58,4.67,4.61,4.81,4.89,4.5,t,0.62,86.49
within a day,0.5,0.8,f,2,Centro Storico,43.77082,11.25711,Private room,2,1,1,1,65,2,30,60,90,365,99,2012.4,4.82,4.85,4.9,4.91,4.88,4.92,4.84,f,0.88,25.74
within an hour,1,1,f,9,Centro Storico,43.77462,11.25174,Entire home/apt,5,1,2,4,132,3,3,33,63,338,39,2015.5,4.82,4.92,4.97,4.82,4.66,4.79,4.79,f,0.53,31.482
within a day,1,0.75,f,1,Centro Storico,43.77472,11.25594,Entire home/apt,2,1,1,1,70,4,14,16,41,316,90,2013.5,4.8,4.77,4.85,4.74,4.89,4.95,4.73,f,0.91,28.665
within an hour,1,0.83,f,10,Centro Storico,43.77533,11.25254,Private room,2,1,1,2,60,1,11,22,52,315,7,2014.3,4.29,4.57,4.14,4.43,4.57,4.86,4.43,f,0.08,2.16
within an hour,1,0.5,t,3,Centro Storico,43.77111,11.24893,Entire home/apt,1,1,1,1,40,7,0,0,10,285,52,2015.3,4.85,4.9,4.86,4.9,4.94,4.92,4.81,f,0.68,12.24
within an hour,1,1,f,7,Centro Storico,43.77255,11.26408,Entire home/apt,9,2,3,7,,2,19,43,73,325,25,2013.8,4.83,4.79,4.88,4.88,4.88,4.88,4.75,t,0.26,23.166
