HostResponseTime,HostResponseRate,HostAcceptRate,Superhost,HostListings,Neighborhood,Latitude,Longitude,RoomType,Accomodates,Bathrooms,Bedrooms,Beds,Price,MinNights,Availability30,Availability60,Availability90,Availability365,ReviewCount,FirstReview,AvgRating,RatingAccuracy,RatingClean,RatingCheckIn,RatingCommunication,RatingLocation,RatingValue,Instant Booking,BookingsPerMonth,CommissionsPerMonth
within an hour,1,0.99,f,44,Centro Storico,43.77068,11.25765,Entire home/apt,2,1,1,1,104,2,30,60,90,287,83,2015.8,4.45,4.77,4.72,4.67,4.56,4.95,4.61,t,1.17,54.756
within an hour,1,0.99,f,44,Centro Storico,43.77241,11.25724,Entire home/apt,4,2,2,3,116,2,5,25,37,234,122,2015.5,4.39,4.6,4.69,4.72,4.67,4.88,4.55,t,1.64,85.608
within an hour,1,0.99,f,44,Centro Storico,43.77225,11.25701,Entire home/apt,4,2,1,3,116,2,30,60,90,287,103,2015.5,4.32,4.64,4.77,4.6,4.51,4.87,4.44,t,1.39,72.558
within an hour,1,0.99,f,44,Centro Storico,43.77059,11.25703,Entire home/apt,4,2,2,2,139,2,30,60,90,287,73,2015.6,4.15,4.64,4.71,4.54,4.49,4.75,4.4,t,0.99,61.9245
within an hour,1,1,f,5,Centro Storico,43.76907,11.24613,Entire home/apt,3,1,1,3,87,1,0,9,35,310,205,2015.5,4.71,4.81,4.76,4.71,4.79,4.94,4.74,t,2.74,107.271
within an hour,1,1,t,1,Centro Storico,43.76856,11.26383,Entire home/apt,3,1,1,2,87,3,4,9,17,224,189,2016.5,4.96,4.98,4.99,4.98,4.95,4.96,4.91,f,3.03,118.6245
within an hour,1,0.99,t,4,Centro Storico,43.78076,11.25514,Entire home/apt,2,1,1,1,200,120,23,53,83,358,35,2015.7,4.77,4.97,4.97,4.79,4.68,4.82,4.76,t,0.49,44.1
within an hour,1,1,f,7,Centro Storico,43.77028,11.25165,Private room,2,1,1,1,35,1,0,1,1,1,314,2015.5,4.63,4.81,4.88,4.76,4.74,4.87,4.69,t,4.22,66.465
within an hour,1,0.99,f,58,Centro Storico,43.77136,11.24936,Entire home/apt,4,1,1,2,75,2,11,28,58,116,229,2015.4,4.61,4.73,4.72,4.71,4.77,4.88,4.65,t,3.05,102.9375
within an hour,1,1,f,1,Centro Storico,43.77739,11.25638,Entire home/apt,2,1,1,1,60,1,21,36,65,340,169,2015.4,4.92,4.94,4.96,4.98,4.98,4.95,4.9,t,2.25,60.75
within an hour,1,1,t,6,Centro Storico,43.77359,11.25596,Entire home/apt,4,1,1,4,75,2,17,32,51,297,193,2017.9,4.97,5,4.95,4.97,4.97,5,4.97,f,4.3,145.125
within an hour,1,1,f,1,Centro Storico,43.7736,11.24636,Entire home/apt,6,2,2,3,74,2,19,40,67,139,256,2015.8,4.59,4.73,4.74,4.9,4.86,4.8,4.7,t,3.59,119.547
within a day,1,0,f,5,Centro Storico,43.77029,11.25623,Entire home/apt,2,1,2,2,66,3,0,0,0,0,1,2016.8,4,5,5,5,5,5,5,f,0.02,0.594
within an hour,1,1,t,4,Centro Storico,43.77213,11.26225,Entire home/apt,2,1,1,1,700,3,29,59,89,89,170,2015.5,4.94,4.97,4.96,4.98,4.99,4.96,4.92,t,2.3,724.5
within a few hours,0.96,0.42,f,6,Centro Storico,43.76689,11.25155,Entire home/apt,2,1,1,0,45,1,17,41,71,161,110,2017.8,4.48,4.58,4.47,4.87,4.8,4.96,4.41,f,2.35,47.5875
within an hour,1,1,t,15,Centro Storico,43.77074,11.25475,Entire home/apt,6,1,2,4,115,2,0,0,0,44,104,2015.8,4.57,4.61,4.57,4.83,4.85,4.97,4.58,t,1.48,76.59
within a few hours,0.96,0.42,f,6,Centro Storico,43.77541,11.25909,Entire home/apt,5,2,1,1,44,1,6,6,19,285,4,2021.1,4.75,4.5,4.25,4.75,5,5,5,f,0.62,12.276
within a few hours,0.96,0.42,f,6,Centro Storico,43.77272,11.26065,Entire home/apt,4,1,1,1,32,3,22,46,76,351,4,2020.2,3.25,4.5,3,5,3.75,4.75,3.75,f,0.23,3.312
within a few hours,1,1,f,33,Centro Storico,43.78016,11.25307,Entire home/apt,4,1,2,4,100,5,8,38,68,343,10,2015.5,4.5,4.9,4.3,4.9,4.9,4.6,4.8,t,0.13,5.85
within a few hours,1,1,f,33,Centro Storico,43.77463,11.2621,Entire home/apt,4,1,2,2,69,60,11,41,61,336,4,2018.1,3.5,3.75,3.5,3.25,3.25,4,3.5,t,0.09,2.7945
within a few hours,0.83,0.91,f,2,Centro Storico,43.77177,11.26577,Entire home/apt,4,1,1,2,63,2,6,23,52,52,338,2015.4,4.59,4.67,4.49,4.86,4.81,4.85,4.62,f,4.5,127.575
within an hour,1,1,f,1,Centro Storico,43.7691,11.24068,Entire home/apt,6,1.5,2,4,56,2,9,24,43,318,189,2015.6,4.83,4.9,4.89,4.94,4.93,4.85,4.79,t,2.58,65.016
within an hour,1,1,f,1,Centro Storico,43.78178,11.23614,Entire home/apt,5,1,2,3,84,1,4,12,22,266,394,2015.5,4.74,4.83,4.8,4.91,4.91,4.53,4.69,t,5.28,199.584
within a day,1,0.67,f,6,Centro Storico,43.77481,11.25496,Private room,2,1,1,2,23,2,17,47,77,352,87,2015.6,4.41,4.59,4.23,4.88,4.66,4.94,4.5,f,1.19,12.3165
a few days or more,0,0,f,7,Centro Storico,43.76619,11.24461,Entire home/apt,2,1,1,1,117,1,0,0,0,0,1,2015.5,5,4,5,5,5,5,4,f,0.01,0.5265
within an hour,1,1,t,19,Centro Storico,43.77853,11.25829,Entire home/apt,4,1,2,2,80,2,8,27,53,324,443,2015.5,4.88,4.95,4.9,4.93,4.96,4.91,4.85,t,5.99,215.64
within an hour,1,1,f,3,Centro Storico,43.77725,11.25891,Private room,2,1,1,1,59,1,0,0,21,296,471,2015.6,4.67,4.81,4.78,4.86,4.91,4.94,4.76,f,6.44,170.982
within an hour,1,1,f,63,Centro Storico,43.77542,11.24551,Entire home/apt,4,1,1,2,53,1,5,18,40,315,33,2015.5,4.38,4.63,4.63,4.66,4.69,4.75,4.31,t,0.44,10.494
within an hour,1,1,f,63,Centro Storico,43.77362,11.24424,Entire home/apt,4,1,1,2,52,1,4,17,47,320,43,2017.3,4.56,4.69,4.69,4.57,4.93,4.6,4.53,t,0.82,19.188
within an hour,1,1,f,63,Centro Storico,43.77513,11.244,Entire home/apt,4,1,1,2,61,1,0,5,35,310,29,2016.3,4.21,4.55,4.41,4.62,4.55,4.86,4.48,t,0.45,12.3525
within an hour,1,1,f,3,Centro Storico,43.7768,11.25853,Private room,2,1,1,1,60,1,0,0,21,296,432,2015.7,4.76,4.82,4.87,4.93,4.94,4.93,4.74,f,5.98,161.46
within an hour,0.88,1,f,1,Centro Storico,43.77021,11.25923,Entire home/apt,5,2,2,3,169,3,29,59,89,364,11,2017.5,4.33,4.33,4.44,4.56,4.44,4.56,4.44,t,0.22,16.731
within a few hours,0.8,1,f,2,Centro Storico,43.77144,11.24815,Entire home/apt,2,1,1,1,140,2,0,1,31,306,38,2016.3,4.81,4.84,4.92,5,4.89,4.94,4.72,f,0.59,37.17
within an hour,1,1,f,3,Centro Storico,43.77589,11.24682,Private room,2,0,1,1,29,2,4,11,11,39,285,2015.6,4.6,4.73,4.72,4.76,4.78,4.88,4.62,t,3.87,50.5035
within an hour,1,1,t,6,Centro Storico,43.77695,11.2537,Entire home/apt,4,1,1,1,65,4,8,10,17,224,121,2016,4.87,4.97,4.96,4.99,5,4.92,4.88,t,1.78,52.065
within an hour,1,1,t,59,Centro Storico,43.76891,11.26214,Entire home/apt,7,2,3,6,108,2,23,41,41,94,48,2015.6,4.67,4.79,4.83,4.94,4.85,5,4.77,t,0.66,32.076
within a few hours,1,0.6,f,4,Centro Storico,43.7691,11.25987,Entire home/apt,5,2,2,4,78,1,5,16,29,288,13,2015.5,4.69,5,4.85,4.77,4.92,4.92,4.85,f,0.17,5.967
within an hour,1,1,f,11,Centro Storico,43.78228,11.24359,Entire home/apt,3,1,1,3,60,2,17,45,75,327,41,2016.5,4.55,4.71,4.68,4.92,4.97,4.53,4.57,t,0.66,17.82
within a few hours,0.96,0.42,f,6,Centro Storico,43.76492,11.2468,Entire home/apt,4,1.5,1,0,38,2,10,13,13,15,21,2019.1,4.52,4.76,4.24,4.9,4.95,4.95,4.52,f,0.68,11.628
within an hour,1,1,t,1,Centro Storico,43.77287,11.26067,Entire home/apt,3,1,1,1,66,2,0,3,11,258,309,2015.5,4.96,4.98,4.99,4.98,4.98,4.94,4.95,t,4.16,123.552
within an hour,0.9,0.63,f,5,Centro Storico,43.7771,11.25845,Entire home/apt,3,1,1,3,80,2,14,44,74,282,22,2016.9,5,5,4.95,4.95,4.95,5,4.95,f,0.38,13.68
within a few hours,1,0.85,f,8,Centro Storico,43.78179,11.25616,Private room,2,0,1,1,27,2,17,42,72,347,49,2015.5,4.45,4.61,4.84,4.68,4.58,4.57,4.43,f,0.66,8.019
within an hour,0.96,1,t,15,Centro Storico,43.76399,11.24584,Entire home/apt,3,1,1,2,60,2,11,20,20,73,130,2015.8,4.86,4.98,4.91,4.96,4.95,4.92,4.82,t,1.85,49.95
within an hour,1,0.99,t,40,Centro Storico,43.77539,11.25403,Entire home/apt,3,1,1,1,143,1,6,22,22,167,104,2015.8,4.7,4.85,4.84,4.91,4.89,4.92,4.75,f,1.48,95.238
within a few hours,1,1,t,2,Centro Storico,43.78015,11.25754,Entire home/apt,6,1,2,3,85,3,13,43,63,80,52,2015.8,4.82,4.82,4.84,4.94,5,4.84,4.88,f,0.74,28.305
within a few hours,1,1,f,5,Centro Storico,43.77154,11.26565,Entire home/apt,2,1,1,2,60,3,28,48,48,48,37,2015.5,4,4.57,4.16,4.81,4.84,4.61,4.08,t,0.5,13.5
within a few hours,1,1,f,1,Centro Storico,43.78616,11.23251,Entire home/apt,5,1,2,3,72,1,25,55,85,360,2,2015.6,4.5,5,5,5,5,4.5,5,f,0.03,0.972
within an hour,1,1,t,2,Centro Storico,43.77404,11.24575,Entire home/apt,3,1,1,2,64,2,25,49,71,235,303,2015.5,4.87,4.91,4.92,4.98,4.98,4.83,4.87,f,4.08,117.504
within an hour,1,1,t,1,Centro Storico,43.77322,11.26624,Entire home/apt,2,1,1,1,,2,6,14,27,300,300,2015.5,4.72,4.89,4.85,4.92,4.9,4.88,4.77,t,4.05,82.0125
within a few hours,1,0.95,t,10,Centro Storico,43.78159,11.26014,Entire home/apt,4,2,2,2,490,3,0,0,0,0,9,2016.1,4.89,5,4.78,5,5,4.89,5,f,0.13,28.665
within an hour,1,0.91,t,4,Centro Storico,43.77599,11.2507,Private room,2,1,1,2,55,1,8,19,49,130,165,2015.8,4.79,4.88,4.77,4.91,4.85,4.92,4.73,t,2.32,57.42
within an hour,1,0.91,t,4,Centro Storico,43.77636,11.25041,Private room,2,1,1,2,60,1,5,16,46,127,190,2015.6,4.65,4.81,4.74,4.89,4.88,4.88,4.71,t,2.58,69.66
within an hour,1,1,t,3,Centro Storico,43.76737,11.25341,Entire home/apt,4,1,1,2,74,1,24,54,84,175,85,2016.3,4.85,4.8,4.89,4.95,4.99,4.99,4.75,t,1.33,44.289
within an hour,1,1,f,11,Centro Storico,43.78228,11.24359,Entire home/apt,6,1,2,5,55,2,17,45,75,350,116,2016.5,4.56,4.76,4.78,4.86,4.9,4.61,4.58,t,1.85,45.7875
within an hour,1,1,t,16,Centro Storico,43.77364,11.25615,Entire home/apt,3,1,1,3,90,3,29,59,89,269,120,2015.6,4.71,4.87,4.9,4.91,4.88,4.94,4.7,t,1.63,66.015
within an hour,1,1,t,16,Centro Storico,43.76626,11.24875,Entire home/apt,4,1,1,2,77,3,6,36,66,247,106,2015.7,4.77,4.93,4.79,4.85,4.78,4.82,4.79,t,1.48,51.282
within an hour,1,1,f,1,Centro Storico,43.77023,11.25905,Entire home/apt,2,1,1,1,60,3,8,10,20,181,270,2015.6,4.89,4.96,4.87,4.98,4.98,4.98,4.94,t,3.67,99.09
within an hour,0.99,1,f,26,Centro Storico,43.76957,11.26043,Entire home/apt,3,1,1,1,67,2,3,15,42,131,138,2015.6,4.78,4.92,4.89,4.88,4.87,4.95,4.77,t,1.89,56.9835
within an hour,1,1,t,3,Centro Storico,43.7745,11.25853,Entire home/apt,3,1,1,1,100,5,0,5,15,247,228,2015.7,4.89,4.92,4.93,4.88,4.96,4.99,4.88,f,3.15,141.75
within an hour,1,0.98,t,2,Centro Storico,43.77723,11.24978,Entire home/apt,8,2,3,5,110,1,11,37,64,172,351,2015.5,4.81,4.89,4.75,4.96,4.97,4.96,4.8,f,4.75,235.125
within an hour,0.99,1,f,26,Centro Storico,43.77135,11.25649,Entire home/apt,4,1,1,1,69,2,7,22,52,73,134,2017.4,4.69,4.89,4.84,4.89,4.86,4.98,4.67,t,2.6,80.73
within an hour,0.88,1,f,1,Centro Storico,43.76745,11.25796,Entire home/apt,8,0,4,8,143,7,24,54,60,242,20,2015.7,4.35,4.53,4.59,4.81,4.59,4.75,4.38,t,0.28,18.018
within a few hours,1,1,f,2,Centro Storico,43.77394,11.24552,Entire home/apt,4,1,2,4,99,3,23,44,44,238,13,2015.6,4.46,4.77,5,4.36,4.25,4.82,4.64,f,0.18,8.019
within a few hours,1,1,t,5,Centro Storico,43.78627,11.2359,Private room,1,0,1,1,50,7,15,15,15,225,12,2017.5,4.58,4.92,4.42,4.83,4.42,4.5,4.58,f,0.24,5.4
within an hour,1,1,f,4,Centro Storico,43.77756,11.25594,Private room,2,1,1,1,63,1,28,52,82,285,82,2016.1,4.65,4.76,4.81,4.83,4.74,4.75,4.66,t,1.21,34.3035
within an hour,1,1,t,2,Centro Storico,43.76669,11.26065,Entire home/apt,2,1,1,1,59,2,8,17,34,268,236,2016,4.88,4.96,4.89,4.95,4.97,4.93,4.91,t,3.45,91.5975
within an hour,0.87,0.98,f,1,Centro Storico,43.76911,11.25509,Entire home/apt,7,1,2,0,44,2,3,10,16,212,238,2015.8,4.52,4.72,4.53,4.72,4.64,4.94,4.65,t,3.37,66.726
within an hour,1,1,f,1,Centro Storico,43.76766,11.24237,Entire home/apt,6,2,2,5,75,12,0,5,35,306,150,2015.7,4.79,4.92,4.87,4.89,4.97,4.87,4.83,f,2.09,70.5375
within a few hours,1,1,f,24,Centro Storico,43.77007,11.25851,Entire home/apt,2,1,1,2,83,3,0,0,0,0,151,2015.7,4.87,4.91,4.83,4.97,4.98,4.99,4.87,f,2.1,78.435
a few days or more,0,0,f,2,Centro Storico,43.76931,11.26444,Entire home/apt,4,1.5,2,3,90,2,28,58,88,178,37,2015.6,4.54,4.59,4.35,4.81,4.81,4.78,4.68,f,0.51,20.655
within an hour,1,1,t,18,Centro Storico,43.77348,11.25659,Entire home/apt,6,1,2,3,140,2,0,0,0,41,9,2018.1,4.75,4.63,5,4.88,4.63,4.88,4.75,t,0.21,13.23
within a day,1,0.67,f,6,Centro Storico,43.77462,11.25248,Private room,3,0,1,3,30,2,29,59,89,364,6,2019.4,4.33,4.33,4.17,5,5,4.67,4.67,f,0.22,2.97
within an hour,1,1,f,1,Centro Storico,43.77001,11.26302,Entire home/apt,2,1,1,1,69,1,1,3,24,292,291,2015.8,4.89,4.96,4.98,4.9,4.89,4.89,4.85,t,4.09,126.9945
within an hour,1,1,f,4,Centro Storico,43.7706,11.2569,Entire home/apt,4,1,2,0,80,1,0,0,0,193,49,2017.1,4.41,4.5,4.59,4.36,4.3,4.95,4.55,t,0.89,32.04
within an hour,1,1,f,31,Centro Storico,43.76469,11.24969,Entire home/apt,7,2,3,5,777,2,29,59,89,364,23,2015.6,4.22,4.35,4.17,4.39,4.13,4.78,4.35,t,0.32,111.888
within an hour,1,0.67,f,2,Centro Storico,43.76769,11.2629,Entire home/apt,2,1,,1,38,2,5,35,65,340,136,2015.7,4.05,4.32,4.49,4.72,4.75,4.83,4.14,t,1.88,32.148
within an hour,1,0.99,t,40,Centro Storico,43.76579,11.24569,Entire home/apt,3,1,2,2,157,1,9,12,26,287,50,2016.7,4.7,4.9,4.71,4.77,4.86,4.96,4.69,t,0.84,59.346
within an hour,1,1,f,32,Centro Storico,43.7688,11.25393,Entire home/apt,4,1,2,2,134,1,7,27,42,283,169,2015.6,4.89,4.92,4.9,4.91,4.89,4.99,4.83,t,2.31,139.293
within an hour,1,1,f,8,Centro Storico,43.77129,11.26365,Entire home/apt,10,0,3,6,380,3,29,59,89,364,6,2019.6,4.5,4.83,5,4.5,5,4.5,4.5,f,0.25,42.75
within an hour,1,1,t,1,Centro Storico,43.77126,11.26352,Entire home/apt,2,1,,1,71,1,16,36,65,339,638,2015.9,4.91,4.94,4.96,4.94,4.98,4.93,4.86,t,9.11,291.0645
within an hour,1,1,f,189,Centro Storico,43.76275,11.24454,Entire home/apt,6,0,3,10,507,3,10,30,30,30,9,2015.7,4.67,5,4.89,4.56,4.56,4.78,4.78,t,0.12,27.378
within an hour,1,0.94,f,3,Centro Storico,43.77797,11.2529,Entire home/apt,4,1,1,2,45,2,1,26,56,147,251,2015.7,4.31,4.61,4.65,4.8,4.86,4.73,4.41,t,3.49,70.6725
within an hour,1,1,f,189,Centro Storico,43.76753,11.2526,Entire home/apt,6,1,2,4,119,3,0,0,0,40,2,2017.6,3.5,3.5,4,4.5,4,5,4,t,0.04,2.142
within an hour,1,0.99,t,40,Centro Storico,43.77546,11.25414,Entire home/apt,5,2,2,2,158,1,26,53,83,352,54,2017.3,4.65,4.7,4.72,4.83,4.81,4.94,4.62,f,1.03,73.233
within an hour,1,0.99,t,40,Centro Storico,43.76894,11.26294,Entire home/apt,3,1,2,2,174,1,24,54,82,325,12,2016.2,4.92,4.92,4.83,4.83,4.75,5,4.58,f,0.18,14.094
within an hour,1,1,t,3,Centro Storico,43.77646,11.23999,Entire home/apt,4,1,1,1,39,2,0,0,0,0,413,2015.7,4.66,4.75,4.78,4.85,4.84,4.74,4.7,t,5.72,100.386
within an hour,1,1,t,1,Centro Storico,43.77507,11.25261,Entire home/apt,6,1,2,4,80,2,16,46,73,347,87,2018.9,4.86,4.95,4.9,4.98,5,4.93,4.81,t,2.61,93.96
within an hour,1,1,t,1,Centro Storico,43.77286,11.24393,Entire home/apt,3,1,1,2,112,1,4,9,16,258,167,2016.1,5,4.99,4.99,5,5,4.98,4.95,t,2.49,125.496
within a few hours,1,0.78,f,15,Centro Storico,43.77327,11.25934,Entire home/apt,4,1,1,2,70,3,30,60,90,365,27,2016.1,4.74,4.93,4.59,4.74,4.81,5,4.74,t,0.4,12.6
within a day,0.88,0.65,f,23,Centro Storico,43.76701,11.24644,Entire home/apt,5,2,2,4,56,1,0,0,0,0,72,2015.6,4.58,4.79,4.56,4.75,4.76,4.87,4.71,f,0.98,24.696
within an hour,1,1,f,1,Centro Storico,43.76867,11.24528,Entire home/apt,6,1,2,3,50,1,12,38,61,336,85,2016.1,4.59,4.69,4.55,4.85,4.68,4.89,4.64,t,1.26,28.35
within an hour,1,1,f,1,Centro Storico,43.77076,11.25946,Entire home/apt,4,1,2,2,120,2,0,0,9,264,108,2016.4,4.88,4.96,4.92,4.94,4.98,4.97,4.91,t,1.7,91.8
within an hour,1,1,t,12,Centro Storico,43.76771,11.25637,Entire home/apt,4,1,1,2,115,2,6,25,38,297,164,2015.7,4.82,4.95,4.97,4.95,4.98,4.91,4.83,t,2.27,117.4725
within an hour,1,1,f,2,Centro Storico,43.77244,11.26462,Entire home/apt,2,1,1,1,55,1,0,0,0,11,1,2016.1,4,5,4,5,5,5,4,f,0.01,0.2475
within an hour,1,0.96,f,3,Centro Storico,43.77464,11.25172,Entire home/apt,8,2,3,5,150,1,0,0,0,0,70,2018.8,4.7,4.84,4.77,4.8,4.93,4.99,4.7,f,2.08,140.4
within a day,1,0.67,f,6,Centro Storico,43.77535,11.25378,Private room,2,1.5,1,0,30,2,29,59,89,364,41,2015.7,4.27,4.24,4.12,4.93,4.59,4.9,4.34,f,0.57,7.695
within an hour,1,1,t,3,Centro Storico,43.77617,11.25184,Entire home/apt,4,1,1,1,55,3,2,8,18,182,340,2015.7,4.93,4.96,4.96,4.99,4.98,4.99,4.89,t,4.7,116.325
within an hour,1,0.99,f,6,Centro Storico,43.77547,11.2552,Private room,2,0,1,1,45,1,10,34,64,339,530,2015.6,4.52,4.72,4.61,4.73,4.81,4.96,4.6,t,7.25,146.8125
within an hour,1,1,t,5,Centro Storico,43.76743,11.25189,Entire home/apt,4,1,1,1,49,2,5,23,44,317,61,2016.3,4.82,4.83,4.92,4.97,4.98,5,4.83,t,0.95,20.9475
within an hour,1,1,t,6,Centro Storico,43.76606,11.25592,Entire home/apt,2,1,1,1,175,1,11,18,35,270,51,2015.8,4.74,4.92,4.94,4.94,4.92,4.98,4.77,t,0.72,56.7
within an hour,1,1,f,189,Centro Storico,43.76995,11.25574,Entire home/apt,3,1,1,1,392,4,29,50,79,354,5,2018.6,4.4,4.8,5,4,5,5,4.8,t,0.13,22.932
within an hour,1,1,f,189,Centro Storico,43.77209,11.25349,Entire home/apt,4,1,1,2,179,3,0,0,0,11,2,2017.9,4,4,5,5,4.5,5,5,t,0.04,3.222
within an hour,1,0.94,f,6,Centro Storico,43.76858,11.25369,Entire home/apt,5,0,3,3,199,2,0,0,0,192,89,2015.8,4.94,4.97,4.86,4.93,4.93,4.99,4.93,t,1.25,111.9375
within an hour,1,0.94,f,6,Centro Storico,43.77415,11.2508,Entire home/apt,4,2,2,3,165,2,0,9,39,314,60,2015.8,4.92,4.97,5,4.93,4.98,4.93,4.9,t,0.84,62.37
within an hour,1,0.91,t,4,Centro Storico,43.77451,11.25212,Private room,4,1,1,3,80,1,7,18,48,129,211,2015.8,4.69,4.84,4.78,4.85,4.86,4.92,4.74,t,3,108
within a day,1,1,t,1,Centro Storico,43.76939,11.25523,Entire home/apt,3,1,1,2,90,2,2,17,31,290,221,2015.6,4.93,4.95,4.97,4.97,4.96,4.98,4.93,f,3.04,123.12
within an hour,1,1,t,1,Centro Storico,43.7751,11.253,Entire home/apt,5,1,1,3,45,1,0,0,0,0,244,2015.6,4.87,4.89,4.89,4.95,4.97,4.93,4.79,f,3.36,68.04
within an hour,1,1,f,189,Centro Storico,43.76252,11.24458,Entire home/apt,6,2,2,4,270,3,30,48,48,151,2,2017.1,4,4.5,4.5,4.5,5,4.5,3.5,t,0.04,4.86
within an hour,1,1,t,1,Centro Storico,43.76802,11.25713,Entire home/apt,3,1,1,3,98,3,9,29,43,298,217,2015.9,4.93,4.96,4.93,4.87,4.97,4.98,4.88,t,3.1,136.71
within an hour,1,1,f,2,Centro Storico,43.76911,11.26008,Private room,2,0,1,2,25,2,8,18,18,18,33,2016.1,4.72,4.75,4.72,4.94,4.91,4.97,4.66,t,0.49,5.5125
within an hour,1,0,f,2,Centro Storico,43.76981,11.26816,Private room,2,1,1,1,60,2,30,60,90,180,219,2015.7,4.19,4.51,4.13,4.68,4.57,4.69,4.28,f,3.04,82.08
within an hour,1,1,f,4,Centro Storico,43.76977,11.24147,Private room,1,0,1,1,39,1,0,0,0,162,32,2016.7,4.93,4.9,4.93,4.86,4.97,4.97,4.79,t,0.53,9.3015
within an hour,1,1,t,1,Centro Storico,43.76955,11.26166,Entire home/apt,4,1,1,2,79,2,24,33,34,141,78,2015.9,4.83,4.97,4.92,4.96,4.95,4.96,4.84,t,1.11,39.4605
within an hour,1,1,t,18,Centro Storico,43.77301,11.25818,Entire home/apt,2,1,,1,120,2,8,22,40,114,23,2016.7,4.81,4.86,4.76,4.85,4.76,5,4.8,t,0.38,20.52
within an hour,1,1,f,12,Centro Storico,43.77338,11.24538,Entire home/apt,5,1.5,3,4,179,1,0,0,0,40,1,2015.9,4,4,4,4,5,5,4,t,0.01,0.8055
within an hour,1,0.99,t,40,Centro Storico,43.77534,11.2541,Entire home/apt,3,1,1,1,132,1,6,14,22,282,23,2019.8,4.96,4.96,5,4.96,4.91,5,4.96,f,1.03,61.182
within an hour,0.86,0.25,f,1,Centro Storico,43.77253,11.26613,Entire home/apt,4,1,2,3,92,4,6,16,31,278,147,2015.9,4.84,4.89,4.97,4.96,4.93,4.92,4.79,f,2.11,87.354
within an hour,1,1,f,189,Centro Storico,43.77196,11.2568,Entire home/apt,2,1,1,1,171,3,0,0,0,0,2,2015.7,3,3,3,3,4,4,3,t,0.03,2.3085
within a few hours,1,0.88,f,1,Centro Storico,43.78826,11.23172,Private room,2,0,1,1,26,2,2,17,47,47,173,2015.6,4.83,4.89,4.89,4.94,4.92,4.6,4.74,f,2.38,27.846
within a few hours,1,0.98,t,2,Centro Storico,43.77309,11.26453,Entire home/apt,6,2,3,5,190,2,3,21,36,106,169,2017.5,4.98,4.98,4.99,4.98,5,4.93,4.85,f,3.37,288.135
within an hour,0.9,1,f,16,Centro Storico,43.77002,11.26554,Entire home/apt,3,1,,3,50,3,1,1,1,180,1,2016.1,4,4,4,4,4,5,3,f,0.01,0.225
within an hour,1,1,f,35,Centro Storico,43.78098,11.25702,Hotel room,6,1,2,2,134,2,25,55,85,169,176,2015.7,4.66,4.72,4.73,4.77,4.81,4.78,4.73,t,2.44,147.132
within an hour,1,1,t,3,Centro Storico,43.77119,11.2564,Entire home/apt,2,1,,1,90,2,7,15,38,313,291,2015.7,4.79,4.91,4.86,4.79,4.88,4.94,4.8,t,4.01,162.405
within an hour,0.86,0.89,f,64,Centro Storico,43.76905,11.25345,Entire home/apt,4,1,1,2,110,2,30,60,90,364,25,2016.9,4.76,4.79,4.72,4.75,4.64,4.96,4.75,t,0.44,21.78
within an hour,1,1,f,6,Centro Storico,43.7736,11.26969,Entire home/apt,6,2,2,3,90,4,16,38,68,321,15,2016.8,4.54,4.92,4.69,4.92,4.77,4.92,4.85,t,0.26,10.53
within an hour,0.98,0.91,f,14,Centro Storico,43.76834,11.26188,Private room,2,0,1,1,34,3,29,59,89,179,25,2016.6,4.36,4.44,4.28,4.92,4.6,4.92,4.28,f,0.41,6.273
within an hour,0.98,0.91,f,14,Centro Storico,43.77036,11.26591,Private room,3,1,1,2,38,4,29,59,89,179,31,2015.8,4.38,4.38,4.52,4.76,4.76,4.83,4.59,f,0.44,7.524
within an hour,1,1,f,5,Centro Storico,43.78635,11.22802,Entire home/apt,2,1,1,1,50,2,18,47,77,352,269,2015.8,4.35,4.66,4.49,4.75,4.84,4.42,4.44,t,3.79,85.275
within an hour,1,1,t,1,Centro Storico,43.77135,11.25462,Entire home/apt,2,1,1,1,44,2,3,5,8,265,233,2015.8,4.75,4.86,4.76,4.91,4.91,4.94,4.79,t,3.32,65.736
within a few hours,1,1,t,1,Centro Storico,43.76711,11.25211,Entire home/apt,2,1,1,1,49,2,13,43,64,64,350,2015.8,4.82,4.88,4.82,4.96,4.98,4.99,4.81,t,4.91,108.2655
within an hour,1,1,t,9,Centro Storico,43.78161,11.25622,Entire home/apt,6,1,2,5,104,3,15,40,70,250,75,2015.8,4.93,4.97,5,4.99,4.99,4.94,4.9,t,1.06,49.608
within an hour,1,1,t,6,Centro Storico,43.77704,11.25359,Entire home/apt,4,1,2,3,52,4,0,9,32,65,68,2015.8,4.76,4.88,4.93,4.94,4.97,4.9,4.81,t,0.97,22.698
within an hour,1,0.99,t,40,Centro Storico,43.76967,11.26516,Entire home/apt,4,2,2,2,174,1,0,0,0,104,28,2016.1,4.77,4.81,4.88,4.81,4.65,4.73,4.65,f,0.42,32.886
within an hour,1,1,t,7,Centro Storico,43.7697,11.25305,Private room,2,1,1,1,184,1,26,55,79,306,4,2016.8,4.75,4.75,4.75,5,4.75,5,4.75,t,0.07,5.796
within an hour,1,1,t,7,Centro Storico,43.7697,11.25305,Private room,4,1.5,1,1,251,1,22,49,75,305,4,2016.8,5,5,5,5,5,5,5,t,0.07,7.9065
